species,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,id,class_name
Adelie Penguin (Pygoscelis adeliae),42.2,19.5,197.0,4275.0,Penguin_112,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),39.6,20.7,191.0,3900.0,Penguin_113,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),42.7,18.3,196.0,4075.0,Penguin_114,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),38.6,17.0,188.0,2900.0,Penguin_115,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),37.3,20.5,199.0,3775.0,Penguin_116,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),35.7,17.0,189.0,3350.0,Penguin_117,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),41.1,18.6,189.0,3325.0,Penguin_118,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),36.2,17.2,187.0,3150.0,Penguin_119,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),37.7,19.8,198.0,3500.0,Penguin_120,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),40.2,17.0,176.0,3450.0,Penguin_121,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),41.4,18.5,202.0,3875.0,Penguin_122,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),35.2,15.9,186.0,3050.0,Penguin_123,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),40.6,19.0,199.0,4000.0,Penguin_124,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),38.8,17.6,191.0,3275.0,Penguin_125,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),41.5,18.3,195.0,4300.0,Penguin_126,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),39.0,17.1,191.0,3050.0,Penguin_127,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),44.1,18.0,210.0,4000.0,Penguin_128,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),38.5,17.9,190.0,3325.0,Penguin_129,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),43.1,19.2,197.0,3500.0,Penguin_130,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),36.8,18.5,193.0,3500.0,Penguin_131,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),37.5,18.5,199.0,4475.0,Penguin_132,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),38.1,17.6,187.0,3425.0,Penguin_133,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),41.1,17.5,190.0,3900.0,Penguin_134,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),35.6,17.5,191.0,3175.0,Penguin_135,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),40.2,20.1,200.0,3975.0,Penguin_136,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),37.0,16.5,185.0,3400.0,Penguin_137,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),39.7,17.9,193.0,4250.0,Penguin_138,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),40.2,17.1,193.0,3400.0,Penguin_139,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),40.6,17.2,187.0,3475.0,Penguin_140,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),32.1,15.5,188.0,3050.0,Penguin_141,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),40.7,17.0,190.0,3725.0,Penguin_142,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),37.3,16.8,192.0,3000.0,Penguin_143,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),39.0,18.7,185.0,3650.0,Penguin_144,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),39.2,18.6,190.0,4250.0,Penguin_145,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),36.6,18.4,184.0,3475.0,Penguin_146,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),36.0,17.8,195.0,3450.0,Penguin_147,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),37.8,18.1,193.0,3750.0,Penguin_148,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),36.0,17.1,187.0,3700.0,Penguin_149,Adelie Penguin (Pygoscelis adeliae)
Adelie Penguin (Pygoscelis adeliae),41.5,18.5,201.0,4000.0,Penguin_150,Adelie Penguin (Pygoscelis adeliae)
Chinstrap penguin (Pygoscelis antarctica),46.5,17.9,192.0,3500.0,Penguin_151,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),50.0,19.5,196.0,3900.0,Penguin_152,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),51.3,19.2,193.0,3650.0,Penguin_153,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),45.4,18.7,188.0,3525.0,Penguin_154,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),52.7,19.8,197.0,3725.0,Penguin_155,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),45.2,17.8,198.0,3950.0,Penguin_156,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),46.1,18.2,178.0,3250.0,Penguin_157,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),51.3,18.2,197.0,3750.0,Penguin_158,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),46.0,18.9,195.0,4150.0,Penguin_159,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),51.3,19.9,198.0,3700.0,Penguin_160,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),46.6,17.8,193.0,3800.0,Penguin_161,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),51.7,20.3,194.0,3775.0,Penguin_162,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),47.0,17.3,185.0,3700.0,Penguin_163,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),52.0,18.1,201.0,4050.0,Penguin_164,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),45.9,17.1,190.0,3575.0,Penguin_165,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),50.5,19.6,201.0,4050.0,Penguin_166,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),50.3,20.0,197.0,3300.0,Penguin_167,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),58.0,17.8,181.0,3700.0,Penguin_168,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),46.4,18.6,190.0,3450.0,Penguin_169,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),49.2,18.2,195.0,4400.0,Penguin_170,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),42.4,17.3,181.0,3600.0,Penguin_171,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),48.5,17.5,191.0,3400.0,Penguin_172,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),43.2,16.6,187.0,2900.0,Penguin_173,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),50.6,19.4,193.0,3800.0,Penguin_174,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),46.7,17.9,195.0,3300.0,Penguin_175,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),52.0,19.0,197.0,4150.0,Penguin_176,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),50.5,18.4,200.0,3400.0,Penguin_177,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),49.5,19.0,200.0,3800.0,Penguin_178,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),46.4,17.8,191.0,3700.0,Penguin_179,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),52.8,20.0,205.0,4550.0,Penguin_180,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),40.9,16.6,187.0,3200.0,Penguin_181,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),54.2,20.8,201.0,4300.0,Penguin_182,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),42.5,16.7,187.0,3350.0,Penguin_183,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),51.0,18.8,203.0,4100.0,Penguin_184,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),49.7,18.6,195.0,3600.0,Penguin_185,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),47.5,16.8,199.0,3900.0,Penguin_186,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),47.6,18.3,195.0,3850.0,Penguin_187,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),52.0,20.7,210.0,4800.0,Penguin_188,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),46.9,16.6,192.0,2700.0,Penguin_189,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),53.5,19.9,205.0,4500.0,Penguin_190,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),49.0,19.5,210.0,3950.0,Penguin_191,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),46.2,17.5,187.0,3650.0,Penguin_192,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),50.9,19.1,196.0,3550.0,Penguin_193,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),45.5,17.0,196.0,3500.0,Penguin_194,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),50.9,17.9,196.0,3675.0,Penguin_195,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),50.8,18.5,201.0,4450.0,Penguin_196,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),50.1,17.9,190.0,3400.0,Penguin_197,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),49.0,19.6,212.0,4300.0,Penguin_198,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),51.5,18.7,187.0,3250.0,Penguin_199,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),49.8,17.3,198.0,3675.0,Penguin_200,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),48.1,16.4,199.0,3325.0,Penguin_201,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),51.4,19.0,201.0,3950.0,Penguin_202,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),45.7,17.3,193.0,3600.0,Penguin_203,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),50.7,19.7,203.0,4050.0,Penguin_204,Chinstrap penguin (Pygoscelis antarctica)
Chinstrap penguin (Pygoscelis antarctica),42.5,17.3,187.0,3350.0,Penguin_205,Chinstrap penguin (Pygoscelis antarctica)
